id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Sig
YML132W,478.7770277,1.000494496,0.468218724,2.136810096,0.032613441,NA,Up
YLR120C,2642.781109,-1.224538983,0.574726611,-2.130646047,0.033118313,0.211957203,Down
snR189,11.14411132,1.888743699,0.888010798,2.12693776,0.033425255,NA,Up
snR24,31.72143186,1.323430424,0.624665481,2.11862263,0.034122372,NA,Up
YDR327W,58.5855897,1.303394636,0.616450085,2.114355512,0.034484914,NA,Up
tS(CGA)C,6.860189446,-3.373277443,1.595937463,-2.113665179,0.034543875,NA,Down
YLR062C,8.900130122,1.962362861,0.92883523,2.11271364,0.034625285,NA,Up
YNL175C,3569.888072,1.008995253,0.477837975,2.111584482,0.034722105,0.218026971,Up
YPL080C,33.16457532,1.666310117,0.789201581,2.1113872,0.034739044,NA,Up
YPL198W,2758.842165,1.02837273,0.487386245,2.10997487,0.034860521,0.218026971,Up
YPL090C,33145.96776,1.202856544,0.574305971,2.094452444,0.036219695,0.221871504,Up
YCL035C,5212.372789,-1.182872617,0.567863914,-2.083021279,0.037249284,0.225600183,Down
YBL053W,8.884211766,2.191491757,1.054060961,2.079093941,0.037608717,NA,Up
YJL116C,1117.710126,-1.006232405,0.485197005,-2.073863594,0.038091981,NA,Down
YGL198W,264.0854439,1.017585871,0.491604188,2.069929215,0.038458974,NA,Up
YLR281C,2.618127329,3.807914093,1.842952153,2.066203448,0.038809273,NA,Up
YPR035W,21665.39063,-1.10044765,0.533134678,-2.064108181,0.039007461,0.232099357,Down
YLR412C-A,8.375923715,1.836905168,0.896402808,2.049196133,0.04044294,NA,Up
snR70,78.71146159,1.17824953,0.577811864,2.039157731,0.041434288,NA,Up
YIR032C,178.2370216,-1.27594009,0.628659972,-2.029618787,0.042395304,NA,Down
YKL183C-A,41.62499881,1.20362698,0.593656706,2.0274798,0.042613368,NA,Up
YDL246C,25.20711893,-1.598542716,0.792117816,-2.018061813,0.043584824,NA,Down
YPR016W-A,58.21960056,1.008119285,0.500652991,2.013608834,0.044050618,NA,Up
YFL019C,33.78263684,-1.771229185,0.880460764,-2.011707118,0.04425082,NA,Down
YPL276W,47.31417733,1.089057431,0.54335799,2.004309223,0.045036947,NA,Up
YGR088W,612.207637,-1.040541637,0.520270389,-2.000001649,0.045500086,NA,Down
YOR142W-B,77.37683346,-1.275404398,0.638004094,-1.999053626,0.045602552,NA,Down
YGR063C,56.60762686,1.145590824,0.574102273,1.995447288,0.045994118,NA,Up
YBL064C,2090.744282,-1.132638497,0.567619319,-1.995419217,0.045997177,0.256745968,Down
YLR048W,39403.2041,1.191334402,0.597158368,1.995005791,0.046042248,0.256745968,Up
YOL106W,27.52539563,1.082223313,0.543908687,1.989715072,0.046622331,NA,Up
YIR030W-A,3.164242664,5.146955886,2.59044831,1.986897737,0.04693373,NA,Up
YOR063W,87824.10466,1.236314884,0.624417826,1.979948093,0.047709362,0.262953396,Up
YIL002W-A,1538.939462,1.039688563,0.526310879,1.975426699,0.048219745,NA,Up
YDR384C,3488.442602,1.282243024,0.65111497,1.969303553,0.048918243,0.267552842,Up
YEL070W,33.66055183,-1.39054736,0.707261482,-1.966100792,0.049286969,NA,Down
YOL037C,17.54099028,-1.6818653,0.856249719,-1.964222892,0.049504249,NA,Down
Q0020,32.91265523,1.900249353,0.969166329,1.960705089,0.049913435,NA,Up
